Product,Color,Size,Attr 2 Name,Qty Avail Now,Qty WIP,Due WIP
47246,IVG,14,IVORY/GOLD,0.00,0.00,
47246,IVG,16,IVORY/GOLD,0.00,0.00,
47246,IVG,4,IVORY/GOLD,1.00,0.00,
47246,IVG,8,IVORY/GOLD,1.00,0.00,
47246,IVG,D0,IVORY/GOLD,1.00,0.00,
47246,BLG,4,BLACK/GOLD,3.00,0.00,
47247,NAV,14,NAVY,0.00,0.00,
47247,RED,10,RED,0.00,0.00,
47247,RED,12,RED,0.00,0.00,
47247,RED,14,RED,0.00,0.00,
47247,RED,8,RED,0.00,0.00,
47247,NAV,12,NAVY,1.00,0.00,
47247,RED,0,RED,1.00,0.00,
47247,RED,4,RED,1.00,0.00,
47247,NAV,8,NAVY,2.00,0.00,
47247,NAV,10,NAVY,3.00,0.00,
47247,NAV,2,NAVY,3.00,0.00,
47247,RED,6,RED,3.00,0.00,
47247,RED,D0,RED,3.00,0.00,
47247,NAV,D0,NAVY,5.00,0.00,
47247,RED,2,RED,5.00,0.00,
47247,NAV,0,NAVY,6.00,0.00,
47247,NAV,4,NAVY,7.00,0.00,
47247,NAV,6,NAVY,9.00,0.00,
47248,NUS,0,NUDE/SILVER,0.00,0.00,
47248,NUS,10,NUDE/SILVER,0.00,0.00,
47248,NUS,12,NUDE/SILVER,0.00,0.00,
47248,NUS,14,NUDE/SILVER,0.00,0.00,
47248,NUS,16,NUDE/SILVER,0.00,0.00,
47248,NUS,2,NUDE/SILVER,0.00,0.00,
47248,NUS,4,NUDE/SILVER,0.00,0.00,
47248,NUS,6,NUDE/SILVER,0.00,0.00,
47248,NUS,8,NUDE/SILVER,0.00,0.00,
47248,NUS,D0,NUDE/SILVER,0.00,0.00,
47249,BTS,2,BRIGHT ROYAL/TURQUOISE,0.00,5.00,02/16/2026
47249,BTS,4,BRIGHT ROYAL/TURQUOISE,0.00,4.00,02/16/2026
47249,BTS,0,BRIGHT ROYAL/TURQUOISE,0.00,2.00,02/16/2026
47249,BTS,6,BRIGHT ROYAL/TURQUOISE,0.00,2.00,02/16/2026
47249,BTS,8,BRIGHT ROYAL/TURQUOISE,0.00,2.00,02/16/2026
47249,BTS,D0,BRIGHT ROYAL/TURQUOISE,0.00,2.00,02/16/2026
47249,BTS,10,BRIGHT ROYAL/TURQUOISE,0.00,1.00,02/16/2026
47249,BTS,12,BRIGHT ROYAL/TURQUOISE,0.00,1.00,02/16/2026
47249,BTS,14,BRIGHT ROYAL/TURQUOISE,0.00,1.00,02/16/2026
47249,BTS,16,BRIGHT ROYAL/TURQUOISE,0.00,0.00,
47250,BLA,6,BLACK,0.00,2.00,02/16/2026
47250,LYW,6,LIGHT YELLOW,0.00,1.00,02/16/2026
47250,BLA,0,BLACK,0.00,0.00,
47250,BLA,10,BLACK,0.00,0.00,
47250,BLA,12,BLACK,0.00,0.00,
47250,BLA,14,BLACK,0.00,0.00,
47250,BLA,16,BLACK,0.00,0.00,
47250,BLA,2,BLACK,0.00,0.00,
47250,BLA,4,BLACK,0.00,0.00,
47250,BLA,8,BLACK,0.00,0.00,
47250,BLA,D0,BLACK,0.00,0.00,
47250,LYW,0,LIGHT YELLOW,0.00,0.00,
47250,LYW,10,LIGHT YELLOW,0.00,0.00,
47250,LYW,12,LIGHT YELLOW,0.00,0.00,
47250,LYW,14,LIGHT YELLOW,0.00,0.00,
47250,LYW,16,LIGHT YELLOW,0.00,0.00,
47250,LYW,2,LIGHT YELLOW,0.00,0.00,
47250,LYW,4,LIGHT YELLOW,0.00,0.00,
47250,LYW,8,LIGHT YELLOW,0.00,0.00,
47250,LYW,D0,LIGHT YELLOW,0.00,0.00,
47251,IVO,4,IVORY,0.00,6.00,02/16/2026
47251,IVO,12,IVORY,0.00,3.00,02/16/2026
47251,IVO,6,IVORY,0.00,3.00,02/16/2026
47251,IVO,10,IVORY,0.00,2.00,02/16/2026
47251,IVO,2,IVORY,0.00,2.00,02/16/2026
47251,IVO,8,IVORY,0.00,2.00,02/16/2026
47251,IVO,0,IVORY,0.00,1.00,02/16/2026
47251,IVO,14,IVORY,0.00,1.00,02/16/2026
47251,IVO,16,IVORY,0.00,0.00,
47251,IVO,D0,IVORY,0.00,0.00,
47252,PER,0,PERIWINKLE,0.00,0.00,
47252,PER,10,PERIWINKLE,0.00,0.00,
47252,PER,12,PERIWINKLE,0.00,0.00,
47252,PER,14,PERIWINKLE,0.00,0.00,
47252,PER,16,PERIWINKLE,0.00,0.00,
47252,PER,2,PERIWINKLE,0.00,0.00,
47252,PER,4,PERIWINKLE,0.00,0.00,
47252,PER,6,PERIWINKLE,0.00,0.00,
47252,PER,8,PERIWINKLE,0.00,0.00,
47252,PER,D0,PERIWINKLE,0.00,0.00,
47253,RED,10,RED,0.00,0.00,
47253,RED,12,RED,0.00,0.00,
47253,RED,14,RED,0.00,0.00,
47253,RED,16,RED,0.00,0.00,
