"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"40102     ","COBALT                                            ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","2         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.00    ","149.00         ","F25   ","F25        "
"40102     ","CELADON                                           ","ST         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.00    ","149.00         ","F25   ","F25        "
"40110     ","RED                                               ","ST         ","0         ","1         ","1         ","0         ","1         ","1         ","0         ","1         ","0         ","1         ","3         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","134.00    ","134.00         ","F25   ","F25        "
"40117     ","RED                                               ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","74.00     ","74.00          ","F25   ","F25        "
"40117     ","PINE                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","74.00     ","74.00          ","F25   ","F25        "
"40118     ","BLACK                                             ","ST         ","0         ","1         ","1         ","0         ","1         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","374.00    ","374.00         ","F25   ","F25        "
"40118     ","GOLD                                              ","ST         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","374.00    ","374.00         ","F25   ","F25        "
"40118     ","CLARET                                            ","ST         ","0         ","1         ","1         ","1         ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","374.00    ","374.00         ","F25   ","F25        "
"40128     ","BLACK/MOCHA                                       ","ST         ","2         ","3         ","3         ","2         ","2         ","1         ","0         ","3         ","2         ","2         ","2         ","2         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","139.00    ","139.00         ","F25   ","F25        "
"40131     ","BLACK                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","4         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","114.00    ","114.00         ","F25   ","F25        "
